"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.895410502E1,6.250126546E1,2.543343434E1,1.837026225E2,2.033523138E2,1.269446611E0,1.402188253E2,4.368668501E-2,4.686108814E0,8.283796257E0,-1.000000000E0
2.995412123E1,6.250127199E1,2.543343171E1,1.834563653E2,2.031060512E2,2.290543169E-1,1.402188138E2,4.605451431E-2,4.748651530E0,9.448733641E0,-1.000000000E0
3.095413792E1,6.250126920E1,2.543347743E1,1.835143916E2,2.031640752E2,1.283349991E0,9.769891800E1,4.760386216E-2,4.748651530E0,1.048274082E1,-1.000000000E0
3.195415378E1,6.250126626E1,2.543350693E1,1.834692085E2,2.031188916E2,1.283349991E0,9.909444852E1,4.954278514E-2,4.748651530E0,7.572324026E0,-1.000000000E0
3.295416892E1,6.250126039E1,2.543354249E1,1.831793464E2,2.028290310E2,1.417556882E0,1.057383391E2,5.140694955E-2,4.748651530E0,6.723428490E0,-1.000000000E0
3.395418274E1,6.250125405E1,2.543357610E1,1.828758645E2,2.025255512E2,1.622295499E0,1.044764925E2,5.299290800E-2,4.748651530E0,6.282608007E0,-1.000000000E0
3.495419633E1,6.250124713E1,2.543360312E1,1.825615741E2,2.022112640E2,1.622295499E0,1.074036517E2,5.342299669E-2,4.748651530E0,6.054712872E0,-1.000000000E0
3.595420897E1,6.250124713E1,2.543359474E1,1.824789579E2,2.021286487E2,1.494901452E0,9.004775887E1,5.498935871E-2,4.748651512E0,3.388031053E0,-1.000000000E0
3.695422220E1,6.250124786E1,2.543362521E1,1.824410503E2,2.020907374E2,1.473349196E0,8.825567135E1,5.661018744E-2,4.748651501E0,3.640448006E0,-1.000000000E0
3.795423353E1,6.250124328E1,2.543365518E1,1.820745952E2,2.017242831E2,1.358582876E0,9.214647649E1,5.796917737E-2,4.748651503E0,3.739487414E0,-1.000000000E0
3.895424438E1,6.250124791E1,2.543367968E1,1.816363331E2,2.012860145E2,1.085263719E0,8.530744080E1,5.985849805E-2,4.748651509E0,3.440069945E0,-1.000000000E0
3.995425558E1,6.250124709E1,2.543371644E1,1.817480082E2,2.013976866E2,1.250736973E0,9.053598159E1,6.193753885E-2,4.748651504E0,3.387514928E0,-1.000000000E0
4.095426583E1,6.250125338E1,2.543375457E1,1.819993837E2,2.016490527E2,1.375385023E0,7.055504616E1,6.370551939E-2,4.748651508E0,3.396446760E0,-1.000000000E0
4.195427608E1,6.250125706E1,2.543378807E1,1.821359825E2,2.017856449E2,1.366288224E0,7.130616320E1,6.594679127E-2,4.748651504E0,3.533826088E0,-1.000000000E0
4.295428503E1,6.250125533E1,2.543383156E1,1.823645582E2,2.020142177E2,1.396440788E0,6.382970428E1,6.757482963E-2,4.748651497E0,3.736127899E0,-1.000000000E0
4.395429528E1,6.250126235E1,2.543385939E1,1.823824610E2,2.020321116E2,1.221430799E0,6.107047653E1,7.000830368E-2,4.748651495E0,3.774501662E0,-1.000000000E0
4.495430350E1,6.250126423E1,2.543390661E1,1.827545273E2,2.024041714E2,1.491062739E0,6.107047653E1,7.160188128E-2,4.748651505E0,3.713024499E0,-1.000000000E0
4.595431626E1,6.250126892E1,2.543393594E1,1.827637334E2,2.024133704E2,1.274040212E0,6.171056747E1,7.305069169E-2,4.748651507E0,3.828655205E0,-1.000000000E0
4.695431936E1,6.250128056E1,2.543394863E1,1.829863023E2,2.026359279E2,1.231270392E0,6.171056747E1,7.456789410E-2,4.748651505E0,3.731750932E0,-1.000000000E0
4.795432770E1,6.250128403E1,2.543397720E1,1.826809613E2,2.023305810E2,1.476380935E0,6.171056747E1,7.607742680E-2,4.748651503E0,3.861682522E0,-1.000000000E0
4.895433557E1,6.250129215E1,2.543400076E1,1.823787539E2,2.020283641E2,1.466754238E0,6.171056747E1,7.746018529E-2,4.748651504E0,4.140299730E0,-1.000000000E0
4.995434284E1,6.250129681E1,2.543402574E1,1.822980515E2,2.019476552E2,1.410713611E0,6.136274719E1,7.872206936E-2,4.748651497E0,4.022656709E0,-1.000000000E0
5.095434988E1,6.250130106E1,2.543404852E1,1.820483017E2,2.016978993E2,1.225143799E0,6.136274719E1,8.062249356E-2,4.748651500E0,3.963939053E0,-1.000000000E0
5.195435703E1,6.250130217E1,2.543408546E1,1.820085512E2,2.016581441E2,1.478845966E0,6.136274719E1,8.234781455E-2,4.748651502E0,3.862304733E0,-1.000000000E0
