"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.399545994E2,6.250166334E1,2.543614137E1,1.764715686E2,1.961206379E2,1.401286874E0,7.029151154E1,2.233977046E-1,4.748651491E0,6.191585965E0,-1.000000000E0
1.409545833E2,6.250166854E1,2.543617273E1,1.770064151E2,1.966554766E2,1.537886139E0,7.029151154E1,2.244872769E-1,4.748651481E0,5.759664786E0,-1.000000000E0
1.419545656E2,6.250167160E1,2.543619288E1,1.767706232E2,1.964196800E2,1.407898061E0,7.612193298E1,2.259415579E-1,4.748651468E0,6.476458891E0,-1.000000000E0
1.429545392E2,6.250167475E1,2.543622038E1,1.768246770E2,1.964737283E2,1.361487291E0,7.612193298E1,2.270025044E-1,4.748651473E0,5.790824149E0,-1.000000000E0
1.439545209E2,6.250167704E1,2.543624044E1,1.768757651E2,1.965248124E2,1.176690319E0,7.612193298E1,2.288231086E-1,4.748651489E0,5.585908152E0,-1.000000000E0
1.449545056E2,6.250167975E1,2.543627541E1,1.770884370E2,1.967374783E2,1.559457191E0,8.191048431E1,2.302478412E-1,4.748651483E0,5.374920908E0,-1.000000000E0
1.459544803E2,6.250168155E1,2.543630288E1,1.775550879E2,1.972041249E2,1.417086690E0,8.191048431E1,2.313493510E-1,4.748651511E0,6.214596910E0,-1.000000000E0
1.469544698E2,6.250168179E1,2.543632433E1,1.774541737E2,1.971032083E2,1.336903497E0,9.000000000E1,2.327845677E-1,4.748651515E0,5.705623454E0,-1.000000000E0
1.479544562E2,6.250168082E1,2.543635221E1,1.774688041E2,1.971178366E2,1.451243710E0,9.793002319E1,2.336855514E-1,4.748651522E0,5.515789273E0,-1.000000000E0
1.489544257E2,6.250167961E1,2.543636956E1,1.773109128E2,1.969599446E2,1.454415275E0,1.057536240E2,2.348608055E-1,4.748651493E0,5.246358978E0,-1.000000000E0
1.499543948E2,6.250167674E1,2.543639159E1,1.772067060E2,1.968557381E2,1.321362227E0,1.057536240E2,2.360054454E-1,4.748651516E0,5.513439901E0,-1.000000000E0
1.509543661E2,6.250167394E1,2.543641304E1,1.765277923E2,1.961768246E2,1.362422266E0,1.057536240E2,2.370504231E-1,4.748651518E0,5.221461860E0,-1.000000000E0
1.519543399E2,6.250167138E1,2.543643263E1,1.766733941E2,1.963224266E2,1.329157573E0,1.057536240E2,2.389224090E-1,4.748651511E0,5.159619874E0,-1.000000000E0
1.529543151E2,6.250166768E1,2.543646820E1,1.759201155E2,1.955691476E2,1.343596893E0,1.001102448E2,2.401241067E-1,4.748651509E0,5.280317211E0,-1.000000000E0
1.539542912E2,6.250166578E1,2.543649124E1,1.764203420E2,1.960693734E2,1.446375487E0,1.001102448E2,2.415546622E-1,4.748651521E0,5.213927533E0,-1.000000000E0
1.549542699E2,6.250166351E1,2.543651867E1,1.773098048E2,1.969588353E2,1.435651909E0,1.001102448E2,2.435253325E-1,4.748651504E0,5.267132686E0,-1.000000000E0
1.559542477E2,6.250167007E1,2.543655433E1,1.771591174E2,1.968081386E2,1.578169284E0,5.893251122E1,2.450526763E-1,4.748651477E0,5.674061305E0,-1.000000000E0
1.569542294E2,6.250167996E1,2.543657497E1,1.777437225E2,1.973927330E2,1.441995173E0,5.351118639E1,2.482884357E-1,4.748651498E0,6.471136158E0,-1.000000000E0
1.579542114E2,6.250169663E1,2.543662663E1,1.769479558E2,1.965969465E2,1.356303067E0,4.802262435E1,2.505126681E-1,4.748651488E0,5.877036932E0,-1.000000000E0
1.589541941E2,6.250171151E1,2.543665559E1,1.774561703E2,1.971051451E2,1.600497786E0,4.900153462E1,2.524750964E-1,4.748651463E0,5.773103238E0,-1.000000000E0
1.599541785E2,6.250172827E1,2.543666756E1,1.774664343E2,1.971153933E2,1.460945678E0,4.024105696E1,2.550294011E-1,4.748651486E0,6.800728751E0,-1.000000000E0
1.609541639E2,6.250175006E1,2.543668327E1,1.774896414E2,1.971385800E2,1.459777048E0,3.313555241E1,2.575930536E-1,4.748651486E0,6.794522162E0,-1.000000000E0
1.619541492E2,6.250177157E1,2.543670130E1,1.779555574E2,1.976044754E2,1.514020456E0,3.661676960E1,2.601562429E-1,4.748651466E0,6.271627543E0,-1.000000000E0
1.629541363E2,6.250179424E1,2.543671032E1,1.784191554E2,1.980680529E2,1.480778765E0,3.343603169E1,2.631939230E-1,4.748651474E0,7.006282287E0,-1.000000000E0
1.639541246E2,6.250182147E1,2.543671504E1,1.778643296E2,1.975132029E2,1.499147272E0,2.436368552E1,2.667039202E-1,4.748651468E0,7.059684485E0,-1.000000000E0
1.649541132E2,6.250185294E1,2.543670980E1,1.777693347E2,1.974181812E2,1.491581985E0,8.906280554E0,2.680976406E-1,4.748651432E0,7.131568056E0,-1.000000000E0
1.659541025E2,6.250186408E1,2.543669735E1,1.775154458E2,1.971642839E2,1.482980961E0,3.546990967E2,2.694941979E-1,4.748651436E0,7.491140132E0,-1.000000000E0
1.669540933E2,6.250187630E1,2.543669103E1,1.768433070E2,1.964921351E2,1.394450554E0,3.546990967E2,2.711437070E-1,4.748651445E0,6.798859946E0,-1.000000000E0
1.679540837E2,6.250189012E1,2.543667938E1,1.770410098E2,1.966898271E2,1.413855542E0,3.546990967E2,2.725580417E-1,4.748651462E0,5.746375566E0,-1.000000000E0
1.689540756E2,6.250190182E1,2.543666858E1,1.765026356E2,1.961514439E2,1.404631198E0,3.546990967E2,2.742196604E-1,4.748651449E0,5.478338611E0,-1.000000000E0
1.699540668E2,6.250191676E1,2.543666791E1,1.766766055E2,1.963254008E2,1.411703805E0,3.454859009E2,2.759811799E-1,4.748651466E0,5.652702653E0,-1.000000000E0
1.709540590E2,6.250193237E1,2.543666204E1,1.765876300E2,1.962364124E2,1.476826301E0,3.454859009E2,2.776848066E-1,4.748651439E0,5.660541995E0,-1.000000000E0
1.719540530E2,6.250194596E1,2.543664673E1,1.764510629E2,1.960998351E2,1.485951656E0,3.454859009E2,2.791979191E-1,4.748651435E0,6.432331465E0,-1.000000000E0
1.729540449E2,6.250195886E1,2.543663736E1,1.763071339E2,1.959558958E2,1.489012720E0,3.454859009E2,2.805861898E-1,4.748651426E0,6.494175196E0,-1.000000000E0
1.739540396E2,6.250197093E1,2.543663043E1,1.761260969E2,1.957748490E2,1.491172981E0,3.454859009E2,2.820121451E-1,4.748651433E0,6.559038393E0,-1.000000000E0
1.749540342E2,6.250198354E1,2.543662530E1,1.762567918E2,1.959055335E2,1.496926856E0,3.454859009E2,2.836905339E-1,4.748651434E0,6.532403302E0,-1.000000000E0
1.759540290E2,6.250199790E1,2.543661528E1,1.760949874E2,1.957437177E2,1.512127630E0,3.403003845E2,2.851750400E-1,4.748651428E0,6.705154508E0,-1.000000000E0
1.769540232E2,6.250201047E1,2.543660554E1,1.762340220E2,1.958827424E2,1.502747341E0,3.403003845E2,2.862438091E-1,4.748651436E0,6.928886061E0,-1.000000000E0
1.779540190E2,6.250201952E1,2.543659853E1,1.758827789E2,1.955314921E2,1.441617270E0,3.403003845E2,2.874792067E-1,4.748651458E0,6.658598208E0,-1.000000000E0
1.789540141E2,6.250202999E1,2.543659043E1,1.760157446E2,1.956644495E2,1.355378506E0,3.403003845E2,2.891039602E-1,4.748651452E0,5.680750549E0,-1.000000000E0
1.799540101E2,6.250204374E1,2.543657978E1,1.760738350E2,1.957225291E2,1.592101512E0,3.403003845E2,2.904953689E-1,4.748651451E0,5.780506703E0,-1.000000000E0
1.809540070E2,6.250205553E1,2.543657065E1,1.763772024E2,1.960258872E2,1.536691810E0,3.403003845E2,2.941924223E-1,4.748651448E0,6.541612694E0,-1.000000000E0
1.819540030E2,6.250208310E1,2.543653041E1,1.759292611E2,1.955779260E2,1.533370172E0,3.189795837E2,2.955087086E-1,4.748651439E0,6.834814248E0,-1.000000000E0
1.829540004E2,6.250209204E1,2.543651359E1,1.755923562E2,1.952410151E2,1.486521968E0,3.189795837E2,2.967839868E-1,4.748651430E0,6.735448253E0,-1.000000000E0
1.839539975E2,6.250210069E1,2.543649730E1,1.750097976E2,1.946584506E2,1.460227320E0,3.189795837E2,2.984563470E-1,4.748651395E0,6.570486960E0,-1.000000000E0
1.849539949E2,6.250211205E1,2.543647594E1,1.756771014E2,1.953257468E2,1.542068715E0,3.189795837E2,3.005398322E-1,4.748651384E0,6.583378654E0,-1.000000000E0
1.859539940E2,6.250212525E1,2.543644714E1,1.758813832E2,1.955300200E2,1.549000072E0,3.132862854E2,3.019127927E-1,4.748651426E0,6.777466203E0,-1.000000000E0
1.869539888E2,6.250213372E1,2.543642769E1,1.760280433E2,1.956766749E2,1.547777067E0,3.132862854E2,3.036306687E-1,4.748651442E0,6.742689760E0,-1.000000000E0
1.879539874E2,6.250214432E1,2.543640335E1,1.769275597E2,1.965761845E2,1.556215638E0,3.132862854E2,3.050600407E-1,4.748651462E0,7.041182915E0,-1.000000000E0
1.889539849E2,6.250215314E1,2.543638309E1,1.776360745E2,1.972846937E2,1.519697969E0,3.132862854E2,3.066621041E-1,4.748651487E0,6.776759284E0,-1.000000000E0
1.899539820E2,6.250216303E1,2.543636040E1,1.780201864E2,1.976687993E2,1.530892322E0,3.132862854E2,3.082799461E-1,4.748651493E0,6.506288530E0,-1.000000000E0
1.909539807E2,6.250217301E1,2.543633747E1,1.781905226E2,1.978391292E2,1.553752294E0,3.132862854E2,3.095917546E-1,4.748651494E0,6.609872358E0,-1.000000000E0
1.919539791E2,6.250216376E1,2.543635332E1,1.788664876E2,1.985151007E2,1.552233042E0,3.340473328E2,3.109838677E-1,4.748651472E0,6.923861584E0,-1.000000000E0
1.929539775E2,6.250217501E1,2.543634144E1,1.792365262E2,1.988851307E2,1.538204841E0,3.337425842E2,3.126446806E-1,4.748651519E0,6.846742550E0,-1.000000000E0
1.939539754E2,6.250218204E1,2.543631290E1,1.792622592E2,1.989108605E2,1.544891811E0,3.011366367E2,3.143118842E-1,4.748651526E0,7.011852154E0,-1.000000000E0
1.949539745E2,6.250218677E1,2.543628208E1,1.791257251E2,1.987743254E2,1.554170846E0,2.970758859E2,3.161859037E-1,4.748651508E0,6.622118817E0,-1.000000000E0
1.959539735E2,6.250219209E1,2.543624744E1,1.791650155E2,1.988136148E2,1.550380791E0,2.967575880E2,3.182057757E-1,4.748651479E0,7.158243796E0,-1.000000000E0
1.969539729E2,6.250219905E1,2.543621111E1,1.790934852E2,1.987420822E2,1.555349261E0,3.062467899E2,3.203171641E-1,4.748651443E0,6.774842689E0,-1.000000000E0
1.979539722E2,6.250220477E1,2.543617189E1,1.791058040E2,1.987544000E2,1.568566286E0,3.083234091E2,3.225536749E-1,4.748651431E0,6.728116685E0,-1.000000000E0
1.989539713E2,6.250220866E1,2.543612915E1,1.792819622E2,1.989305591E2,1.565616944E0,3.066637394E2,3.248774817E-1,4.748651447E0,6.552663339E0,-1.000000000E0
1.999539703E2,6.250221047E1,2.543608406E1,1.790170981E2,1.986656981E2,1.534346729E0,3.035005605E2,3.275464866E-1,4.748651446E0,6.402192350E0,-1.000000000E0
2.009539697E2,6.250221134E1,2.543603210E1,1.789233843E2,1.985719889E2,1.541471219E0,2.992343496E2,3.303185289E-1,4.748651453E0,6.345178087E0,-1.000000000E0
2.019539682E2,6.250221178E1,2.543597812E1,1.791524657E2,1.988010754E2,1.558949044E0,2.972365935E2,3.331439950E-1,4.748651455E0,6.408933314E0,-1.000000000E0
2.029539683E2,6.250220909E1,2.543592339E1,1.794522498E2,1.991008674E2,1.545704630E0,2.947346906E2,3.340049986E-1,4.748651475E0,6.113793769E0,-1.000000000E0
2.039539669E2,6.250221209E1,2.543590794E1,1.794039221E2,1.990525387E2,1.389090376E0,2.938499661E2,3.357404962E-1,4.748651501E0,5.843525529E0,-1.000000000E0
2.049539667E2,6.250220808E1,2.543587527E1,1.784961520E2,1.981447754E2,1.348409005E0,2.791369492E2,3.373466947E-1,4.748651511E0,5.676116277E0,-1.000000000E0
2.059539670E2,6.250220941E1,2.543584411E1,1.782761652E2,1.979247906E2,1.543005555E0,2.770260449E2,3.386605220E-1,4.748651475E0,5.967619607E0,-1.000000000E0
2.069539665E2,6.250221017E1,2.543581858E1,1.786427327E2,1.982913601E2,1.532456420E0,2.754057936E2,3.400271863E-1,4.748651485E0,6.129674599E0,-1.000000000E0
2.079539660E2,6.250221028E1,2.543579196E1,1.795186707E2,1.991673008E2,1.453090713E0,2.754387098E2,3.413273222E-1,4.748651528E0,6.151601811E0,-1.000000000E0
2.089539658E2,6.250221174E1,2.543576683E1,1.790238367E2,1.986724680E2,1.531012523E0,2.746899793E2,3.426222176E-1,4.748651534E0,6.222288417E0,-1.000000000E0
2.099539657E2,6.250221160E1,2.543574161E1,1.788036428E2,1.984522769E2,1.511927064E0,2.715905029E2,3.439536082E-1,4.748651517E0,6.460266982E0,-1.000000000E0
2.109539661E2,6.250220919E1,2.543571621E1,1.785995385E2,1.982481772E2,1.486741252E0,2.658677452E2,3.452903983E-1,4.748651505E0,6.453706440E0,-1.000000000E0
2.119539654E2,6.250221055E1,2.543569034E1,1.786810787E2,1.983297189E2,1.515994065E0,2.696496601E2,3.466697516E-1,4.748651501E0,6.318209004E0,-1.000000000E0
2.129539645E2,6.250220752E1,2.543566428E1,1.788652037E2,1.985138492E2,1.512157849E0,2.648887720E2,3.479577672E-1,4.748651533E0,6.445262777E0,-1.000000000E0
2.139539649E2,6.250220695E1,2.543563923E1,1.784335853E2,1.980822339E2,1.527713441E0,2.665143187E2,3.493029995E-1,4.748651527E0,6.340700925E0,-1.000000000E0
2.149539648E2,6.250220363E1,2.543561403E1,1.779937102E2,1.976423642E2,1.531887178E0,2.643195472E2,3.507218208E-1,4.748651519E0,6.228726959E0,-1.000000000E0
2.159539647E2,6.250220146E1,2.543558680E1,1.781641666E2,1.978128253E2,1.540337687E0,2.619875378E2,3.522374740E-1,4.748651524E0,6.359702938E0,-1.000000000E0
2.169539648E2,6.250219893E1,2.543555779E1,1.780997298E2,1.977483937E2,1.544570338E0,2.599518738E2,3.537037975E-1,4.748651534E0,6.424046130E0,-1.000000000E0
2.179539651E2,6.250219741E1,2.543552942E1,1.778759879E2,1.975246560E2,1.530987229E0,2.615106710E2,3.551589110E-1,4.748651513E0,6.459747459E0,-1.000000000E0
2.189539646E2,6.250219785E1,2.543550109E1,1.777113347E2,1.973600053E2,1.524867153E0,2.656422006E2,3.566443077E-1,4.748651475E0,6.696556376E0,-1.000000000E0
2.199539649E2,6.250220114E1,2.543547305E1,1.784361300E2,1.980848006E2,1.538463426E0,2.723902711E2,3.581142788E-1,4.748651483E0,6.920456698E0,-1.000000000E0
2.209539651E2,6.250220156E1,2.543544443E1,1.787634828E2,1.984121560E2,1.531610552E0,2.727325782E2,3.596625577E-1,4.748651510E0,7.034881493E0,-1.000000000E0
2.219539661E2,6.250220116E1,2.543541429E1,1.796707417E2,1.993194182E2,1.491156475E0,2.708404045E2,3.613307322E-1,4.748651596E0,6.936736728E0,-1.000000000E0
2.229539648E2,6.250220114E1,2.543538179E1,1.795753112E2,1.992239912E2,1.555672716E0,2.694013709E2,3.629853868E-1,4.748651594E0,6.610620522E0,-1.000000000E0
2.239539649E2,6.250220020E1,2.543534963E1,1.794103104E2,1.990589944E2,1.544225905E0,2.680826699E2,3.646161634E-1,4.748651560E0,6.278387416E0,-1.000000000E0
2.249539658E2,6.250219920E1,2.543531794E1,1.792930039E2,1.989416920E2,1.550156263E0,2.700523573E2,3.663323121E-1,4.748651549E0,6.057597414E0,-1.000000000E0
2.259539664E2,6.250219845E1,2.543528455E1,1.791404627E2,1.987891549E2,1.577038062E0,2.716960816E2,3.679448618E-1,4.748651550E0,5.987221160E0,-1.000000000E0
2.269539654E2,6.250219514E1,2.543525397E1,1.789724011E2,1.986210993E2,1.569369109E0,2.674617645E2,3.696015435E-1,4.748651551E0,5.962351169E0,-1.000000000E0
2.279539670E2,6.250219209E1,2.543522238E1,1.791026900E2,1.987513941E2,1.541724977E0,2.647013922E2,3.712867571E-1,4.748651557E0,5.894656900E0,-1.000000000E0
2.289539672E2,6.250219108E1,2.543518963E1,1.790795264E2,1.987282347E2,1.541198503E0,2.675522889E2,3.729990786E-1,4.748651558E0,5.799700877E0,-1.000000000E0
2.299539664E2,6.250219236E1,2.543515639E1,1.791263860E2,1.987750966E2,1.547868663E0,2.717345783E2,3.744487334E-1,4.748651559E0,5.781410504E0,-1.000000000E0
2.309539665E2,6.250219340E1,2.543512825E1,1.789874097E2,1.986361223E2,1.516503223E0,2.732847091E2,3.760955022E-1,4.748651550E0,5.826580416E0,-1.000000000E0
2.319539675E2,6.250219503E1,2.543509637E1,1.787989783E2,1.984476927E2,1.529493470E0,2.735009183E2,3.776010045E-1,4.748651526E0,6.059352902E0,-1.000000000E0
2.329539678E2,6.250219641E1,2.543506720E1,1.789483487E2,1.985970649E2,1.536054870E0,2.744509762E2,3.791953168E-1,4.748651513E0,6.191413635E0,-1.000000000E0
2.339539667E2,6.250220130E1,2.543503801E1,1.789661698E2,1.986148847E2,1.535076516E0,2.811139153E2,3.807562949E-1,4.748651530E0,6.142514493E0,-1.000000000E0
2.349539676E2,6.250220587E1,2.543500926E1,1.790852147E2,1.987339286E2,1.545840693E0,2.846223713E2,3.822719896E-1,4.748651527E0,6.053418884E0,-1.000000000E0
2.359539683E2,6.250220789E1,2.543498006E1,1.792507323E2,1.988994474E2,1.545024643E0,2.813631427E2,3.837949702E-1,4.748651536E0,6.045289835E0,-1.000000000E0
2.369539685E2,6.250221305E1,2.543495258E1,1.792514388E2,1.989001523E2,1.538349870E0,2.867176577E2,3.853318142E-1,4.748651540E0,6.133793813E0,-1.000000000E0
2.379539690E2,6.250221770E1,2.543492439E1,1.794327884E2,1.990815007E2,1.528614249E0,2.878799825E2,3.867773958E-1,4.748651546E0,6.128191684E0,-1.000000000E0
2.389539688E2,6.250222228E1,2.543489804E1,1.796517583E2,1.993004694E2,1.498986042E0,2.851338172E2,3.884501235E-1,4.748651566E0,6.351685157E0,-1.000000000E0
2.399539702E2,6.250223191E1,2.543487301E1,1.796287307E2,1.992774359E2,1.538253697E0,2.973977432E2,3.899692341E-1,4.748651541E0,6.383930816E0,-1.000000000E0
2.409539694E2,6.250223811E1,2.543484663E1,1.799134460E2,1.995621486E2,1.530850310E0,2.955197237E2,3.914283536E-1,4.748651544E0,6.352429579E0,-1.000000000E0
2.419539704E2,6.250224500E1,2.543482245E1,1.802837269E2,1.999324260E2,1.504803103E0,2.963239838E2,3.929755428E-1,4.748651559E0,6.266141155E0,-1.000000000E0
2.429539704E2,6.250225352E1,2.543479863E1,1.800862604E2,1.997349545E2,1.528599052E0,3.007765308E2,3.943578932E-1,4.748651536E0,6.158316176E0,-1.000000000E0
2.439539711E2,6.250226127E1,2.543477758E1,1.802371699E2,1.998858594E2,1.502898554E0,3.030346135E2,3.957506734E-1,4.748651519E0,6.171112002E0,-1.000000000E0
2.449539716E2,6.250226851E1,2.543475543E1,1.804853573E2,2.001340428E2,1.512501445E0,3.029666509E2,3.971606172E-1,4.748651531E0,6.179236103E0,-1.000000000E0
2.459539717E2,6.250227014E1,2.543472820E1,1.808144138E2,2.004631007E2,1.491745772E0,2.919875977E2,3.986310197E-1,4.748651570E0,6.340022827E0,-1.000000000E0
2.469539714E2,6.250226938E1,2.543469961E1,1.807543534E2,2.004030439E2,1.496832642E0,2.795351857E2,4.001809081E-1,4.748651588E0,6.394131799E0,-1.000000000E0
2.479539720E2,6.250226619E1,2.543467022E1,1.808888666E2,2.005375629E2,1.519781547E0,2.668543495E2,4.017382048E-1,4.748651591E0,6.425631598E0,-1.000000000E0
2.489539733E2,6.250225922E1,2.543464392E1,1.809655782E2,2.006142832E2,1.513663544E0,2.539079050E2,4.032602094E-1,4.748651596E0,6.453646306E0,-1.000000000E0
2.499539734E2,6.250225030E1,2.543462142E1,1.811200662E2,2.007687812E2,1.500772639E0,2.427515579E2,4.046247197E-1,4.748651623E0,6.707123522E0,-1.000000000E0
2.509539737E2,6.250224184E1,2.543460218E1,1.810621193E2,2.007108437E2,1.484841742E0,2.353757857E2,4.062670294E-1,4.748651613E0,6.521338508E0,-1.000000000E0
2.519539738E2,6.250223291E1,2.543457670E1,1.805511709E2,2.001999056E2,1.581723730E0,2.338733569E2,4.077326589E-1,4.748651583E0,6.050416505E0,-1.000000000E0
2.529539739E2,6.250222230E1,2.543455974E1,1.805286209E2,2.001773665E2,1.509312485E0,2.262987622E2,4.093470646E-1,4.748651561E0,6.473912435E0,-1.000000000E0
2.539539748E2,6.250221051E1,2.543454139E1,1.802765855E2,1.999253432E2,1.509692512E0,2.228207611E2,4.109108223E-1,4.748651540E0,6.358557651E0,-1.000000000E0
2.549539742E2,6.250220004E1,2.543452106E1,1.804325967E2,2.000813656E2,1.507738353E0,2.223385960E2,4.123020186E-1,4.748651535E0,6.399955245E0,-1.000000000E0
2.559539747E2,6.250219106E1,2.543450219E1,1.802711097E2,1.999198883E2,1.476207529E0,2.237408138E2,4.138590477E-1,4.748651545E0,6.316408046E0,-1.000000000E0
2.569539757E2,6.250218726E1,2.543447300E1,1.799359043E2,1.995846892E2,1.487406144E0,2.389009066E2,4.152791896E-1,4.748651539E0,6.334577559E0,-1.000000000E0
2.579539759E2,6.250218291E1,2.543444700E1,1.799313615E2,1.995801528E2,1.495380985E0,2.444555002E2,4.170044141E-1,4.748651546E0,6.304875360E0,-1.000000000E0
2.589539760E2,6.250217020E1,2.543442772E1,1.803344778E2,1.999832821E2,1.549236360E0,2.307860093E2,4.184546806E-1,4.748651576E0,6.114376657E0,-1.000000000E0
2.599539759E2,6.250215949E1,2.543441157E1,1.803977824E2,2.000465977E2,1.499605258E0,2.221784495E2,4.200401326E-1,4.748651612E0,6.144859221E0,-1.000000000E0
2.609551640E2,6.250214742E1,2.543439516E1,1.803806706E2,2.000294981E2,1.513099096E0,2.176230111E2,4.215870341E-1,4.748651601E0,6.040464710E0,-1.000000000E0
2.619551830E2,6.250213652E1,2.543437644E1,1.803747510E2,2.000235899E2,1.493577328E0,2.187638442E2,4.230302476E-1,4.748651586E0,5.876464333E0,-1.000000000E0
2.629551831E2,6.250212646E1,2.543435866E1,1.803989936E2,2.000478430E2,1.474934295E0,2.199874508E2,4.245384189E-1,4.748651574E0,5.985256013E0,-1.000000000E0
2.639551767E2,6.250211622E1,2.543433941E1,1.807053130E2,2.003541733E2,1.479125613E0,2.213388501E2,4.260332738E-1,4.748651573E0,5.982618187E0,-1.000000000E0
2.649551711E2,6.250210510E1,2.543432303E1,1.807000609E2,2.003489324E2,1.496544657E0,2.196869627E2,4.276095517E-1,4.748651582E0,5.780057032E0,-1.000000000E0
2.659551384E2,6.250209299E1,2.543430709E1,1.805101736E2,2.001590573E2,1.501092381E0,2.157690199E2,4.289343826E-1,4.748651600E0,5.729983137E0,-1.000000000E0
2.669551219E2,6.250208280E1,2.543429370E1,1.803114703E2,1.999603643E2,1.466269841E0,2.132669365E2,4.305330344E-1,4.748651596E0,5.974673280E0,-1.000000000E0
2.679551041E2,6.250207386E1,2.543426931E1,1.803482644E2,1.999971686E2,1.477798741E0,2.187723289E2,4.321258703E-1,4.748651568E0,5.887393925E0,-1.000000000E0
2.689550699E2,6.250206498E1,2.543424497E1,1.806010854E2,2.002499998E2,1.480415645E0,2.212152270E2,4.331229014E-1,4.748651576E0,5.884061381E0,-1.000000000E0
2.699550465E2,6.250205781E1,2.543423332E1,1.809346317E2,2.005835535E2,1.157833437E0,2.195685469E2,4.347613253E-1,4.748651585E0,6.116972341E0,-1.000000000E0
2.709550257E2,6.250204883E1,2.543420802E1,1.813099362E2,2.009588684E2,1.406055426E0,2.218426470E2,4.361545867E-1,4.748651586E0,5.205923221E0,-1.000000000E0
2.719549881E2,6.250204557E1,2.543418181E1,1.823999232E2,2.020488609E2,1.180226327E0,2.266225408E2,4.373071856E-1,4.748651612E0,5.820244306E0,-1.000000000E0
2.729549645E2,6.250203723E1,2.543416849E1,1.825388315E2,2.021877778E2,1.284393531E0,2.216337012E2,4.392282515E-1,4.748651619E0,5.662961437E0,-1.000000000E0
2.739549432E2,6.250202318E1,2.543414669E1,1.820126045E2,2.016615652E2,1.646303726E0,2.196254815E2,4.401551764E-1,4.748651623E0,5.148462277E0,-1.000000000E0
2.749549019E2,6.250201711E1,2.543413432E1,1.820232956E2,2.016722629E2,1.189107605E0,2.201094357E2,4.420040849E-1,4.748651581E0,6.096620351E0,-1.000000000E0
2.759548601E2,6.250200461E1,2.543411058E1,1.820443005E2,2.016932810E2,1.548153192E0,2.221456486E2,4.432260003E-1,4.748651559E0,5.126990022E0,-1.000000000E0
2.769548206E2,6.250199674E1,2.543409397E1,1.821655477E2,2.018145368E2,1.182322862E0,2.233010560E2,4.449036254E-1,4.748651550E0,5.702002586E0,-1.000000000E0
2.779547825E2,6.250198425E1,2.543407565E1,1.819834976E2,2.016324994E2,1.432252021E0,2.187995076E2,4.466797751E-1,4.748651549E0,5.153507074E0,-1.000000000E0
2.789547470E2,6.250197200E1,2.543405345E1,1.821567070E2,2.018057217E2,1.580592234E0,2.210581404E2,4.479490809E-1,4.748651562E0,5.092633537E0,-1.000000000E0
2.799547148E2,6.250196517E1,2.543403363E1,1.823147524E2,2.019637751E2,1.390203956E0,2.257302491E2,4.494898150E-1,4.748651561E0,5.880742865E0,-1.000000000E0
2.809546821E2,6.250195425E1,2.543401515E1,1.821798509E2,2.018288849E2,1.422721832E0,2.232992593E2,4.511133806E-1,4.748651542E0,5.474015095E0,-1.000000000E0
2.819546520E2,6.250194503E1,2.543399063E1,1.821204995E2,2.017695440E2,1.426443970E0,2.292442167E2,4.527445807E-1,4.748651529E0,5.989353633E0,-1.000000000E0
2.829546243E2,6.250193415E1,2.543396932E1,1.821401033E2,2.017891595E2,1.457391147E0,2.255091774E2,4.542261137E-1,4.748651543E0,6.104624144E0,-1.000000000E0
2.839545974E2,6.250192245E1,2.543395551E1,1.822717016E2,2.019207693E2,1.450490612E0,2.185396054E2,4.556572077E-1,4.748651552E0,5.570190279E0,-1.000000000E0
2.849545718E2,6.250191120E1,2.543394199E1,1.817360787E2,2.013851576E2,1.374808384E0,2.146598253E2,4.571371701E-1,4.748651545E0,4.967848922E0,-1.000000000E0
2.859545485E2,6.250190145E1,2.543392236E1,1.817086383E2,2.013577276E2,1.378141821E0,2.199070876E2,4.586549658E-1,4.748651557E0,5.068931118E0,-1.000000000E0
2.869545258E2,6.250189199E1,2.543390105E1,1.816293802E2,2.012784800E2,1.366104418E0,2.234055041E2,4.603129944E-1,4.748651552E0,4.966801548E0,-1.000000000E0
2.879545037E2,6.250188182E1,2.543387744E1,1.814804469E2,2.011295579E2,1.421390355E0,2.257464347E2,4.617513009E-1,4.748651555E0,4.877708298E0,-1.000000000E0
2.889544832E2,6.250187319E1,2.543385657E1,1.816559699E2,2.013050905E2,1.403815638E0,2.274410945E2,4.631408352E-1,4.748651538E0,4.611405194E0,-1.000000000E0
2.899544643E2,6.250186147E1,2.543384716E1,1.817208096E2,2.013699413E2,1.221226201E0,2.148188567E2,4.651057523E-1,4.748651562E0,4.744154451E0,-1.000000000E0
2.909544461E2,6.250184818E1,2.543382193E1,1.816012789E2,2.012504247E2,1.469687301E0,2.174733584E2,4.668430860E-1,4.748651562E0,4.938924517E0,-1.000000000E0
2.919544281E2,6.250183833E1,2.543379567E1,1.816171592E2,2.012663163E2,1.474471728E0,2.232376403E2,4.686916410E-1,4.748651554E0,5.583452105E0,-1.000000000E0
2.929544117E2,6.250182770E1,2.543376798E1,1.815521389E2,2.012013080E2,1.569341602E0,2.256342088E2,4.704763003E-1,4.748651546E0,5.653573223E0,-1.000000000E0
