"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.763662973045990E9,"2025-11-20 20:22:53.046 UTC+02:00"
"PAUSE",4.007846842916697E2,1.763663373880898E9,"2025-11-20 20:29:33.881 UTC+02:00"
