"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.018242917E-1,1.768276366E0,-8.754614997E-1,7.524033380E-1,2.111716109E0
6.117832917E-1,1.921370797E0,-8.827126318E-1,5.686376292E-1,2.189565273E0
6.217412917E-1,1.993717227E0,-7.978625160E-1,4.703196216E-1,2.198338810E0
6.317002917E-1,2.001807142E0,-5.841391826E-1,5.158355176E-1,2.148147272E0
6.416582917E-1,2.077902661E0,-3.069326288E-1,6.061545342E-1,2.186163403E0
6.516172917E-1,1.719768157E0,-4.975635535E-1,4.679585159E-1,1.850447832E0
6.615752917E-1,1.284240492E0,-7.642234844E-1,2.235846627E-1,1.511059654E0
6.715342917E-1,1.059138916E0,-8.622386062E-1,-1.159070170E-1,1.370644043E0
6.814922917E-1,9.050740656E-1,-9.317824656E-1,-6.035817593E-1,1.432371658E0
6.914512917E-1,7.219260420E-1,-9.481751347E-1,-1.065617630E0,1.598672646E0
7.014092917E-1,4.843381749E-1,-8.739780611E-1,-1.423074296E0,1.738839144E0
7.113682917E-1,2.920755116E-1,-7.574366212E-1,-1.506056518E0,1.710913375E0
7.213262917E-1,1.751591190E-1,-6.690635580E-1,-1.400300560E0,1.561783730E0
7.312852917E-1,1.141722577E-1,-6.539245319E-1,-1.278680813E0,1.440721076E0
7.412432917E-1,1.009764442E-1,-6.983668792E-1,-1.178351948E0,1.373472189E0
7.512022917E-1,1.384973692E-1,-6.903556091E-1,-1.057840834E0,1.270747661E0
7.611602917E-1,1.910687715E-1,-6.358671606E-1,-9.710833561E-1,1.176366102E0
7.711192917E-1,2.306518633E-1,-6.166327447E-1,-9.636410201E-1,1.167064797E0
7.810772917E-1,3.179495505E-1,-5.699216777E-1,-1.034076580E0,1.222790664E0
7.910362917E-1,3.930182612E-1,-5.158910662E-1,-1.060132357E0,1.242774139E0
8.009942917E-1,4.362982186E-1,-4.775409329E-1,-1.053322398E0,1.236078295E0
8.109532917E-1,4.677738535E-1,-3.801081938E-1,-8.312971875E-1,1.026815286E0
8.209112917E-1,4.620230438E-1,-2.953288293E-1,-5.881135350E-1,8.040907539E-1
8.308702917E-1,4.130902176E-1,-2.975180268E-1,-4.226156974E-1,6.616377648E-1
8.408282917E-1,3.975836941E-1,-2.607103890E-1,-2.146501172E-1,5.216487070E-1
8.507872917E-1,4.011104422E-1,-1.987679100E-1,2.510794401E-2,4.483622171E-1
8.607452917E-1,3.479171520E-1,-1.989199376E-1,1.715111142E-1,4.359260815E-1
8.707042917E-1,2.405804355E-1,-2.523839539E-1,1.223769611E-1,3.695304139E-1
8.806622917E-1,1.299936904E-1,-2.912047881E-1,-6.130834848E-2,3.247419002E-1
8.906212917E-1,5.021460894E-3,-3.536238152E-1,-3.480236444E-1,4.961808892E-1
9.005792917E-1,-6.906493586E-2,-3.124143934E-1,-5.686779749E-1,6.525085116E-1
9.105382917E-1,-6.180429743E-2,-1.370330071E-1,-6.069173035E-1,6.252570907E-1
9.204962917E-1,8.757289915E-2,2.522254944E-2,-5.199443561E-1,5.278705552E-1
9.304552917E-1,2.732692032E-1,8.285563052E-2,-5.423944482E-1,6.129705135E-1
9.404132917E-1,4.208151935E-1,1.821857911E-1,-5.466140914E-1,7.134872490E-1
9.503722917E-1,4.303555106E-1,3.044083858E-1,-4.240660992E-1,6.765370554E-1
9.603312917E-1,3.808753119E-1,3.730763322E-1,-3.564275551E-1,6.413209453E-1
9.702892917E-1,3.020957389E-1,3.193813509E-1,-3.943186820E-1,5.905535587E-1
9.802482917E-1,2.126102429E-1,2.216685301E-1,-4.174561143E-1,5.182756602E-1
9.902062917E-1,9.969195709E-2,8.257847250E-2,-3.925162777E-1,4.133118904E-1
1.000165292E0,-1.027004957E-2,-6.692430675E-2,-3.399077091E-1,3.465856134E-1
1.010123292E0,-8.238478348E-2,-1.994070107E-1,-3.263953784E-1,3.912599539E-1
1.020082292E0,-1.544066928E-1,-2.901493657E-1,-3.728155464E-1,4.970105762E-1
1.030040292E0,-2.158826371E-1,-3.180300593E-1,-4.133823591E-1,5.644762232E-1
1.039999292E0,-2.488345478E-1,-2.788297409E-1,-3.702395555E-1,5.260627197E-1
1.049957292E0,-2.648410814E-1,-2.799149841E-1,-2.895675677E-1,4.820192662E-1
1.059916292E0,-2.418724144E-1,-4.028445071E-1,-2.059558922E-1,5.130339085E-1
1.069874292E0,-2.061733355E-1,-4.500040555E-1,-1.307077816E-1,5.119527502E-1
1.079833292E0,-1.562984864E-1,-3.684353971E-1,-5.096330836E-2,4.034490272E-1
1.089791292E0,-1.880284752E-1,-2.254399842E-1,7.927289531E-2,3.040757897E-1
1.099750292E0,-2.257685246E-1,-1.258882141E-1,2.213624284E-1,3.403242481E-1
1.109707958E0,-2.687946763E-1,-1.616293198E-1,2.559025159E-1,4.047971253E-1
1.119666958E0,-2.805930419E-1,-2.830666333E-1,2.086707544E-1,4.498918290E-1
1.129624958E0,-2.846601458E-1,-2.857581067E-1,9.022166044E-2,4.133147011E-1
1.139583958E0,-2.924396469E-1,-1.957852453E-1,-2.259071767E-2,3.526515985E-1
1.149541958E0,-3.115582149E-1,-9.074820220E-2,-1.367271978E-1,3.521336168E-1
1.159500958E0,-4.021609676E-1,-1.272383362E-1,-2.306571624E-1,4.807554104E-1
1.169458958E0,-4.967165843E-1,-1.275453150E-1,-2.567114782E-1,5.734945122E-1
1.179417958E0,-5.053214930E-1,-6.167350709E-2,-2.100390029E-1,5.506993876E-1
1.189375958E0,-4.397271354E-1,2.909808397E-2,-9.215913534E-2,4.502221211E-1
1.199334958E0,-3.601626103E-1,-9.639135003E-3,-5.098333508E-3,3.603276450E-1
1.209292958E0,-2.823284224E-1,-1.572211039E-1,-3.324858382E-2,3.248588646E-1
1.219251958E0,-2.310767001E-1,-2.139975679E-1,-1.613739426E-1,3.538826780E-1
1.229209958E0,-2.038098179E-1,-1.144703561E-1,-3.015164991E-1,3.815155351E-1
1.239168958E0,-1.801782958E-1,3.843959570E-2,-3.668358913E-1,4.105001729E-1
1.249126958E0,-1.592474565E-1,1.584332317E-1,-3.858536679E-1,4.464794444E-1
1.259085958E0,-5.806051254E-2,2.634983414E-1,-3.872824350E-1,4.720064444E-1
1.269043958E0,6.400990829E-2,3.581507295E-1,-3.092361394E-1,4.774894798E-1
1.279002958E0,1.477695183E-1,3.885305232E-1,-2.076454452E-1,4.646594763E-1
1.288960958E0,2.110891628E-1,3.287702250E-1,-1.167732820E-1,4.077799590E-1
1.298919958E0,2.279346988E-1,1.882540315E-1,-1.260794181E-1,3.213873472E-1
1.308878958E0,1.452968770E-1,-2.400925219E-2,-2.883033997E-1,3.237382846E-1
1.318836958E0,-5.294989988E-2,-2.485739082E-1,-4.611482638E-1,5.265457254E-1
1.328795958E0,-2.729525582E-1,-3.074103463E-1,-5.676512039E-1,7.008795255E-1
1.338753958E0,-4.062940720E-1,-1.542185587E-1,-6.517949760E-1,7.833868313E-1
1.348712958E0,-3.677648677E-1,9.965000331E-2,-7.549515545E-1,8.456553499E-1
1.358670958E0,-2.500023830E-1,2.735684162E-1,-7.752720907E-1,8.592948764E-1
1.368629958E0,-1.133699101E-1,3.662777746E-1,-6.661516446E-1,7.686157416E-1
1.378587958E0,8.245202646E-2,3.753906602E-1,-5.581062090E-1,6.776422544E-1
1.388546958E0,2.672193633E-1,3.063438141E-1,-5.015873149E-1,6.456334526E-1
1.398504958E0,3.129135995E-1,2.173497766E-1,-5.140962633E-1,6.398834379E-1
1.408463958E0,2.551390158E-1,1.008574533E-1,-4.663774288E-1,5.410878388E-1
1.418421958E0,1.140354694E-1,8.540443182E-3,-3.368238875E-1,3.557068437E-1
1.428380958E0,-3.868795618E-2,-1.459698915E-2,-1.447174180E-1,1.505090067E-1
1.438338958E0,-8.693508670E-2,-1.314103246E-2,-9.458426803E-2,1.291378325E-1
1.448297958E0,-4.004626438E-2,-5.809559584E-2,-2.110494018E-1,2.225323606E-1
1.458255958E0,5.328859985E-2,-1.382691085E-2,-3.449845541E-1,3.493496828E-1
1.468214958E0,1.453457013E-1,8.680016220E-2,-4.853551519E-1,5.140323574E-1
1.478172958E0,1.633723748E-1,1.447571790E-1,-5.828773534E-1,6.224075697E-1
1.488131958E0,1.546484752E-1,9.963889360E-2,-5.868014199E-1,6.149633862E-1
1.498089958E0,1.542765923E-1,7.132492125E-2,-4.475230819E-1,4.787122519E-1
1.508048958E0,4.124719477E-1,1.622923940E-1,1.412570357E-2,4.434765656E-1
1.518007958E0,7.454463208E-1,3.416393620E-1,4.724193567E-1,9.463549648E-1
1.527965958E0,8.298324600E-1,4.382043743E-1,7.698514295E-1,1.213802376E0
1.537924958E0,5.347069676E-1,2.897494161E-1,7.372128564E-1,9.556929742E-1
1.547882958E0,6.690179497E-2,6.702020109E-2,5.957552612E-1,6.032345222E-1
1.557841958E0,-1.187638204E-1,3.677021563E-2,4.269695342E-1,4.447020091E-1
1.567799958E0,-1.618874744E-1,-2.472436666E-2,3.176844889E-1,3.574105247E-1
