"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.762960430684364E9,"2025-11-12 17:13:50.684 UTC+02:00"
"PAUSE",6.114897558333178E1,1.762960491833230E9,"2025-11-12 17:14:51.833 UTC+02:00"
